proposal_id,chain,original_id,title,type,status,timestamp,voting_start,voting_end,tx_hash,proposer,high_level_category,topic_subject,passed
sentinel_1,sentinel,1,Staking Param Change,ParameterChange,PASSED,1617728664978,1618124571156,1619334171156,undefined,undefined,ParameterChange,Staking Parameters,True
sentinel_1,sentinel,1,Staking Param Change,ParameterChange,PASSED,1617728664978,1618124571156,1619334171156,undefined,undefined,ParameterChange,Staking Parameters,True
cosmos_45,cosmos,45,Community Fund Governance Proposal For Gravity DEX Incentivized Testnet Prize Pool,CommunityPoolSpend,PASSED,1617809603400,1617867385987,1619076985987,32227619DA26E9994C687EAB97B4A4CFF5575A673FE472F23CC815BC8720D383,cosmos10e4vsut6suau8tk9m6dnrm0slgd6npe3hjqndl,CommunityPoolSpend,Community Support,True
iris_3,iris,3,Increase MaxValidators to 108,/cosmos.params.v1beta1.ParameterChangeProposal,REJECTED,1617885365415,1617909632033,1618341632033,95385F64ABE811D8D971EF2BE49D7B6640AB7E315CCDEDECA6B3BFAE1CC2C8FE,iaa12060eqmpeskvs9ffyctrsfhdl33v8z3fgldst3,ParameterChange,Fee Adjustment,False
akash_6,akash,6,Enable IBC transfers,ParameterChange,PASSED,1618031393224,1618032308957,1619241908957,A269F3B0092545849BE00F3FC70DC299A851CFF051D51ACE6BBF838851BD5E88,akash1lhenngdge40r5thghzxqpsryn4x084m9jkpdg2,ParameterChange,Staking Parameters,True
kava_42,kava,42,Increase Minimum Staking Inflation Param,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1618332983840,1618332983840,1618937783840,undefined,undefined,,,True
kava_43,kava,43,Decrease HARD rewards for KAVA delegators,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1618333535826,1618333535826,1618938335826,undefined,undefined,ParameterChange,Economic Parameters,True
kava_44,kava,44,Add KAVA rewards for USDX suppliers to Hard protocol,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1618934845297,1618934845297,1619539645297,undefined,undefined,ParameterChange,Economic Parameters,True
secret_30,secret,30,Modification to downtime window,ParameterChange,PASSED,1619022855199,1619566803723,1620171603723,undefined,undefined,ParameterChange,Protocol Configuration,True
cosmos_46,cosmos,46,Prop 34 Continuation Proposal,Text,PASSED,1619188032684,1619219546432,1620429146432,9FAA853167450799C54BDA70DD765F5DFA0E960A321474C662FDF7F33186BC86,cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,TextProposal,Project Funding,True
iris_4,iris,4,Governance Efficiency,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1619426213496,1619434718297,1619866718297,63C9D9D15DDF7D7A41AFBCE51D93E49690B1647280D08D1163F71566D414453E,iaa1vk4kps6gala40ue4nltghym0vdq8z5ep308tve,ParameterChange,Governance Settings,True
secret_31,secret,31,Modification to blocks per year proposal B,ParameterChange,PASSED,1620252077062,1620708779124,1621313579124,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_45,kava,45,Create SAFU fund via the community pool,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1620256334631,1620256334631,1620861134631,undefined,undefined,ParameterChange,Protocol Configuration,True
cosmos_47,cosmos,47,Parameter change lower minimum proposal deposit amount,ParameterChange,PASSED,1620314655956,1620394798941,1621604398941,816FA467F497BF10F7FB496271BCAFAEA8F1BF788288F618DC8907359C4D07A1,cosmos1849m9wncrqp6v4tkss6a3j8uzvuv0cp7wcgvqa,ParameterChange,Staking Parameters,True
secret_32,secret,32,Param Change  Lower minimum proposal deposit amount,ParameterChange,PASSED,1620414347769,1620759479311,1621364279311,undefined,undefined,ParameterChange,Staking Parameters,True
sentinel_2,sentinel,2,Sentinel Hub IBC and Bandwidth Upgrade,Text,PASSED,1620801762688,1620802602748,1622012202748,undefined,undefined,TextProposal,Governance Process,True
secret_34,secret,34,Bizdev Committee Proposal A,CommunityPoolSpend,PASSED,1621364745848,1621365359932,1621970159932,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_35,secret,35,Infrastructure Committee Proposal A,CommunityPoolSpend,PASSED,1621364806327,1621365060554,1621969860554,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_36,secret,36,International Growth Committee Proposal A,CommunityPoolSpend,PASSED,1621372189932,1621372463163,1621977263163,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_37,secret,37,SecretSwap Committee Proposal A,CommunityPoolSpend,PASSED,1621458676225,1621462775466,1622067575466,undefined,undefined,CommunityPoolSpend,Community Support,True
kava_46,kava,46,Halves KAVA rewards for USDX minters and redirects those rewards to Hard protocol,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1621868357893,1621868357893,1622473157893,undefined,undefined,ParameterChange,Economic Parameters,True
cosmos_48,cosmos,48,Inflation Rate Change Correction,ParameterChange,PASSED,1622655015614,1622655015614,1623864615614,B0F116E34790A7A8F43EE4C43563B24B3F56E14C18BE9F2D4E9201FB61AFBC9E,cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,ParameterChange,Fee Adjustment,True
kava_47,kava,47,Removes KAVA rewards for USDX minters and redirects those rewards to Hard protocol,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1622738589783,1622738589783,1623343389783,undefined,undefined,ParameterChange,Economic Parameters,True
sentinel_3,sentinel,3,Sentinel Hub Software Upgrade  1,SoftwareUpgrade,PASSED,1623009761555,1623011236938,1624220836938,56D4A9F5DA7BBC6A80F479C9B4099E045033CD6180EBA4E82F433A617886C698,sent1dlvexscz0gttgmgqxpx7edlh86nm692sc699yu,SoftwareUpgrade,Major Release,True
secret_38,secret,38,Education Committee Proposal A,CommunityPoolSpend,PASSED,1623099087667,1623101109410,1623705909410,undefined,undefined,CommunityPoolSpend,Community Support,True
kava_48,kava,48,Complete SAFU fund funding by reducing community pool and inflation,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1623631363808,1623631363808,1624236163808,undefined,undefined,ParameterChange,Fee Adjustment,True
cosmos_49,cosmos,49,Signaling Proposal  Deployment of Gravity Bridge on the Cosmos Hub,Text,PASSED,1623697581209,1623699012944,1624908612944,566E59DF4151525E1D5288D36A1D599170DC77E499F2362E21EE494F2678DD1B,cosmos1dpjth2u84grrtzhg2ajm8wp2hwz9c6hzzfx64r,TextProposal,Community Decision,True
akash_7,akash,7,Increase maxvalidator cap to 75,ParameterChange,PASSED,1623836738856,1623838886353,1625048486353,7311F80B3A3D5171E3E31622544B6D94275ADDAE6F1B977E61E08C9194AAFF5D,akash1h0lfv7axpx6h6xz0k54q3vkvmlw2yp93j5a3v3,ParameterChange,Fee Adjustment,True
secret_40,secret,40,Awareness Committee Funding,CommunityPoolSpend,PASSED,1624034645775,1624290057550,1624894857550,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_40,secret,40,Awareness Committee Funding,CommunityPoolSpend,PASSED,1624034645775,1624290057550,1624894857550,undefined,undefined,CommunityPoolSpend,Community Support,True
osmosis_1,osmosis,1,We want to claim rewards completely,/cosmos.gov.v1beta1.TextProposal,PASSED,1624130488486,1624141898874,1624401098874,85033A783B6F5EC3232E3330AF31D39ADBAE36475965F9DA10F89E62169DB8F8,osmo1cg79pj70mgl8xlum0rw5yy6enk9jszsrfyf8cx,TextProposal,Governance Process,True
osmosis_2,osmosis,2,Set Initial Liquidity Mining Incentives,/osmosis.poolincentives.v1beta1.UpdatePoolIncentivesProposal,PASSED,1624162590012,1624207928442,1624467128442,1DC1034E4175F65CAE43CD81A224D08CEB1C67CEF2268ED781DF22429DAA9C41,osmo1rm4ts33tralf6q3vhhkzf7pu2xfh99tq56e6wu,PoolIncentives,Liquidity Mining,True
